# CareerFlow AI — Projeção financeira v2 (entrega final, set/2026). Premissas por ano (Ano 1; Ano 2; Ano 3):
# diagnósticos grátis/mês: 350; 1.500; 3.600
# conversão grátis→Plano: 0,06; 0,07; 0,07
# preço do Plano (R$): 197; 247; 297
# reembolso em 7 dias: 0,05; 0,05; 0,05
# Plano→Contínuo: 0,35; 0,4; 0,45
# Contínuo (R$/mês): 49; 59; 69
# churn mensal do Contínuo: 0,09; 0,07; 0,055
# % da base que compra avulso/mês: 0,1; 0,13; 0,16
# ticket avulso (R$): 34; 37; 39
# custo por diagnóstico (R$): 0,5; 0,45; 0,4
# custo de IA/dados por Plano (R$): 40; 34; 28
# custo por assinante/mês (R$): 14; 12; 10
# custo do avulso (% da receita): 0,3; 0,28; 0,25
# meios de pagamento (% da receita): 0,04; 0,04; 0,035
# impostos Simples (% da receita): 0,06; 0,08; 0,1
# pessoal (R$/mês): 9.000; 26.000; 45.000
# CAC por Plano (R$): 120; 135; 140
# vendas (R$/mês): 500; 2.000; 4.000
# tecnologia (R$/mês): 2.500; 5.000; 8.000
# G&A (R$/mês): 1.500; 3.000; 5.000
# Capital: sócios R$ 150.000 (mês 1) + anjo R$ 150.000 (mês 1) + seed R$ 600.000 (mês 13); capex R$ 60.000 no mês 1. Assinantes entram no mês seguinte ao Plano (o 1º mês está incluso no Plano).
Mês;Ano;Diagnósticos grátis;Planos vendidos (antes de reembolso);Novos assinantes;Cancelamentos;Assinantes ativos;Receita Plano (R$);Receita Contínua (R$);Receita Sob demanda (R$);Receita total (R$);Custos diretos (R$);Impostos (R$);Pessoal (R$);Marketing (R$);Vendas (R$);Tecnologia (R$);G&A (R$);EBITDA (R$)
1;1;350;21,0;0,0;0,0;0,0;3.930,15;0,00;71,40;4.001,55;1.196,48;240,09;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-13.455,02
2;1;350;21,0;7,0;0,0;7,0;3.930,15;342,14;95,14;4.367,43;1.315,99;262,05;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-13.230,61
3;1;350;21,0;7,0;0,6;13,3;3.930,15;653,49;116,74;4.700,39;1.424,75;282,02;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-13.026,39
4;1;350;21,0;7,0;1,2;19,1;3.930,15;936,82;136,40;5.003,37;1.523,72;300,20;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-12.840,55
5;1;350;21,0;7,0;1,7;24,4;3.930,15;1.194,65;154,29;5.279,09;1.613,78;316,75;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-12.671,43
6;1;350;21,0;7,0;2,2;29,2;3.930,15;1.429,27;170,57;5.530,00;1.695,74;331,80;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-12.517,54
7;1;350;21,0;7,0;2,6;33,5;3.930,15;1.642,78;185,39;5.758,32;1.770,32;345,50;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-12.377,49
8;1;350;21,0;7,0;3,0;37,5;3.930,15;1.837,07;198,87;5.966,09;1.838,18;357,97;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-12.250,05
9;1;350;21,0;7,0;3,4;41,1;3.930,15;2.013,88;211,14;6.155,17;1.899,94;369,31;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-12.134,08
10;1;350;21,0;7,0;3,7;44,4;3.930,15;2.174,77;222,30;6.327,23;1.956,14;379,63;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-12.028,55
11;1;350;21,0;7,0;4,0;47,4;3.930,15;2.321,19;232,46;6.483,80;2.007,29;389,03;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-11.932,52
12;1;350;21,0;7,0;4,3;50,1;3.930,15;2.454,42;241,71;6.626,28;2.053,83;397,58;9.000,00;2.520,00;500,00;2.500,00;1.500,00;-11.845,12
13;2;1.500;105,0;8,0;3,5;54,6;24.638,25;3.219,27;767,50;28.625,02;6.259,67;2.290,00;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-30.099,65
14;2;1.500;105,0;39,9;3,8;90,6;24.638,25;5.348,02;941,05;30.927,32;6.833,32;2.474,19;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-28.555,18
15;2;1.500;105,0;39,9;6,3;124,2;24.638,25;7.327,76;1.102,45;33.068,46;7.366,82;2.645,48;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-27.118,83
16;2;1.500;105,0;39,9;8,7;155,4;24.638,25;9.168,92;1.252,55;35.059,72;7.862,97;2.804,78;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-25.783,03
17;2;1.500;105,0;39,9;10,9;184,4;24.638,25;10.881,19;1.392,14;36.911,59;8.324,39;2.952,93;26.000,00;14.175,00;2.000,00;5.000,00;3.000,00;-24.540,73
